filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
.\venv\Lib\site-packages\click\core.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1890,16,38,[1890],https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
.\venv\Lib\site-packages\click\core.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,2597,12,13,"[2597, 2598, 2599]",https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
.\venv\Lib\site-packages\click\core.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,3120,8,38,[3120],https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
.\venv\Lib\site-packages\click\decorators.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,211,8,82,[211],https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
.\venv\Lib\site-packages\click\decorators.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,212,8,83,[212],https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
.\venv\Lib\site-packages\click\decorators.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,236,12,34,[236],https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
.\venv\Lib\site-packages\click\decorators.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,237,12,37,[237],https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
.\venv\Lib\site-packages\click\parser.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,193,12,51,[193],https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
.\venv\Lib\site-packages\click\shell_completion.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,313,8,25,[313],https://bandit.readthedocs.io/en/1.9.2/blacklists/blacklist_imports.html#b404-import-subprocess
.\venv\Lib\site-packages\click\shell_completion.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,320,21,13,"[320, 321, 322, 323]",https://bandit.readthedocs.io/en/1.9.2/plugins/b603_subprocess_without_shell_equals_true.html
.\venv\Lib\site-packages\click\shell_completion.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,514,4,33,[514],https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
.\venv\Lib\site-packages\click\testing.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",409,20,28,"[409, 410]",https://bandit.readthedocs.io/en/1.9.2/plugins/b110_try_except_pass.html
.\venv\Lib\site-packages\click\testing.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",419,20,28,"[419, 420]",https://bandit.readthedocs.io/en/1.9.2/plugins/b110_try_except_pass.html
.\venv\Lib\site-packages\click\utils.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",42,8,16,"[42, 43]",https://bandit.readthedocs.io/en/1.9.2/plugins/b110_try_except_pass.html
.\venv\Lib\site-packages\flask\app.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,268,12,13,"[268, 269, 270]",https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
.\venv\Lib\site-packages\flask\cli.py,blacklist,B307,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of possibly insecure function - consider using safer ast.literal_eval.,1031,12,57,[1031],https://bandit.readthedocs.io/en/1.9.2/blacklists/blacklist_calls.html#b307-eval
.\venv\Lib\site-packages\flask\config.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",163,12,20,"[163, 164, 165]",https://bandit.readthedocs.io/en/1.9.2/plugins/b110_try_except_pass.html
.\venv\Lib\site-packages\flask\config.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,209,16,79,[209],https://bandit.readthedocs.io/en/1.9.2/plugins/b102_exec_used.html
.\venv\Lib\site-packages\flask\debughelpers.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,59,8,47,[59],https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
.\venv\Lib\site-packages\flask\json\tag.py,markupsafe_markup_xss,B704,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Potential XSS with ``markupsafe.Markup`` detected. Do not use ``Markup`` on untrusted data.,188,15,28,[188],https://bandit.readthedocs.io/en/1.9.2/plugins/b704_markupsafe_markup_xss.html
.\venv\Lib\site-packages\flask\sansio\scaffold.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,705,4,83,[705],https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
.\venv\Lib\site-packages\flask\sessions.py,hashlib,B324,HIGH,HIGH,https://cwe.mitre.org/data/definitions/327.html,Use of weak SHA1 hash for security. Consider usedforsecurity=False,295,11,31,[295],https://bandit.readthedocs.io/en/1.9.2/plugins/b324_hashlib.html
.\venv\Lib\site-packages\flask\testing.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,59,8,9,"[59, 60, 61, 62, 63]",https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
.\venv\Lib\site-packages\flask\views.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,190,8,75,[190],https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
.\venv\Lib\site-packages\flask_sqlalchemy\model.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,58,8,32,[58],https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
.\venv\Lib\site-packages\itsdangerous\signer.py,hashlib,B324,HIGH,HIGH,https://cwe.mitre.org/data/definitions/327.html,Use of weak SHA1 hash for security. Consider usedforsecurity=False,45,11,31,[45],https://bandit.readthedocs.io/en/1.9.2/plugins/b324_hashlib.html
.\venv\Lib\site-packages\itsdangerous\timed.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",114,8,16,"[114, 115]",https://bandit.readthedocs.io/en/1.9.2/plugins/b110_try_except_pass.html
.\venv\Lib\site-packages\jinja2\bccache.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with pickle module.,13,0,13,[13],https://bandit.readthedocs.io/en/1.9.2/blacklists/blacklist_imports.html#b403-import-pickle
.\venv\Lib\site-packages\jinja2\bccache.py,blacklist,B301,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/502.html,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",73,19,33,[73],https://bandit.readthedocs.io/en/1.9.2/blacklists/blacklist_calls.html#b301-pickle
.\venv\Lib\site-packages\jinja2\bccache.py,blacklist,B302,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/502.html,Deserialization with the marshal module is possibly dangerous.,79,24,39,[79],https://bandit.readthedocs.io/en/1.9.2/blacklists/blacklist_calls.html#b302-marshal
.\venv\Lib\site-packages\jinja2\bccache.py,hashlib,B324,HIGH,HIGH,https://cwe.mitre.org/data/definitions/327.html,Use of weak SHA1 hash for security. Consider usedforsecurity=False,156,15,41,[156],https://bandit.readthedocs.io/en/1.9.2/plugins/b324_hashlib.html
.\venv\Lib\site-packages\jinja2\bccache.py,hashlib,B324,HIGH,HIGH,https://cwe.mitre.org/data/definitions/327.html,Use of weak SHA1 hash for security. Consider usedforsecurity=False,165,15,43,[165],https://bandit.readthedocs.io/en/1.9.2/plugins/b324_hashlib.html
.\venv\Lib\site-packages\jinja2\compiler.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,832,8,53,[832],https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
.\venv\Lib\site-packages\jinja2\compiler.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'environment',1440,31,44,[1440],https://bandit.readthedocs.io/en/1.9.2/plugins/b105_hardcoded_password_string.html
.\venv\Lib\site-packages\jinja2\debug.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,145,8,35,[145],https://bandit.readthedocs.io/en/1.9.2/plugins/b102_exec_used.html
.\venv\Lib\site-packages\jinja2\environment.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,128,4,62,"[128, 129, 130]",https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
.\venv\Lib\site-packages\jinja2\environment.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,131,4,69,"[131, 132, 133, 134, 135]",https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
.\venv\Lib\site-packages\jinja2\environment.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,136,4,69,"[136, 137, 138, 139, 140]",https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
.\venv\Lib\site-packages\jinja2\environment.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",476,16,24,"[476, 477]",https://bandit.readthedocs.io/en/1.9.2/plugins/b110_try_except_pass.html
.\venv\Lib\site-packages\jinja2\environment.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,851,8,39,[851],https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
.\venv\Lib\site-packages\jinja2\environment.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,852,8,63,[852],https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
.\venv\Lib\site-packages\jinja2\environment.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,919,8,63,[919],https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
.\venv\Lib\site-packages\jinja2\environment.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,1228,8,29,[1228],https://bandit.readthedocs.io/en/1.9.2/plugins/b102_exec_used.html
.\venv\Lib\site-packages\jinja2\environment.py,markupsafe_markup_xss,B704,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Potential XSS with ``markupsafe.Markup`` detected. Do not use ``Markup`` on untrusted data.,1544,15,48,[1544],https://bandit.readthedocs.io/en/1.9.2/plugins/b704_markupsafe_markup_xss.html
.\venv\Lib\site-packages\jinja2\ext.py,markupsafe_markup_xss,B704,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Potential XSS with ``markupsafe.Markup`` detected. Do not use ``Markup`` on untrusted data.,176,17,27,[176],https://bandit.readthedocs.io/en/1.9.2/plugins/b704_markupsafe_markup_xss.html
.\venv\Lib\site-packages\jinja2\ext.py,markupsafe_markup_xss,B704,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Potential XSS with ``markupsafe.Markup`` detected. Do not use ``Markup`` on untrusted data.,197,17,27,[197],https://bandit.readthedocs.io/en/1.9.2/plugins/b704_markupsafe_markup_xss.html
.\venv\Lib\site-packages\jinja2\ext.py,markupsafe_markup_xss,B704,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Potential XSS with ``markupsafe.Markup`` detected. Do not use ``Markup`` on untrusted data.,213,17,27,[213],https://bandit.readthedocs.io/en/1.9.2/plugins/b704_markupsafe_markup_xss.html
.\venv\Lib\site-packages\jinja2\ext.py,markupsafe_markup_xss,B704,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Potential XSS with ``markupsafe.Markup`` detected. Do not use ``Markup`` on untrusted data.,238,17,27,[238],https://bandit.readthedocs.io/en/1.9.2/plugins/b704_markupsafe_markup_xss.html
.\venv\Lib\site-packages\jinja2\filters.py,markupsafe_markup_xss,B704,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Potential XSS with ``markupsafe.Markup`` detected. Do not use ``Markup`` on untrusted data.,316,13,23,[316],https://bandit.readthedocs.io/en/1.9.2/plugins/b704_markupsafe_markup_xss.html
.\venv\Lib\site-packages\jinja2\filters.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,699,15,33,[699],https://bandit.readthedocs.io/en/1.9.2/blacklists/blacklist_calls.html#b311-random
.\venv\Lib\site-packages\jinja2\filters.py,markupsafe_markup_xss,B704,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Potential XSS with ``markupsafe.Markup`` detected. Do not use ``Markup`` on untrusted data.,820,13,23,[820],https://bandit.readthedocs.io/en/1.9.2/plugins/b704_markupsafe_markup_xss.html
.\venv\Lib\site-packages\jinja2\filters.py,markupsafe_markup_xss,B704,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Potential XSS with ``markupsafe.Markup`` detected. Do not use ``Markup`` on untrusted data.,851,20,37,[851],https://bandit.readthedocs.io/en/1.9.2/plugins/b704_markupsafe_markup_xss.html
.\venv\Lib\site-packages\jinja2\filters.py,markupsafe_markup_xss,B704,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Potential XSS with ``markupsafe.Markup`` detected. Do not use ``Markup`` on untrusted data.,852,18,33,[852],https://bandit.readthedocs.io/en/1.9.2/plugins/b704_markupsafe_markup_xss.html
.\venv\Lib\site-packages\jinja2\filters.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,908,4,77,[908],https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
.\venv\Lib\site-packages\jinja2\filters.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,909,4,61,[909],https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
.\venv\Lib\site-packages\jinja2\filters.py,markupsafe_markup_xss,B704,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Potential XSS with ``markupsafe.Markup`` detected. Do not use ``Markup`` on untrusted data.,1056,11,29,[1056],https://bandit.readthedocs.io/en/1.9.2/plugins/b704_markupsafe_markup_xss.html
.\venv\Lib\site-packages\jinja2\filters.py,markupsafe_markup_xss,B704,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Potential XSS with ``markupsafe.Markup`` detected. Do not use ``Markup`` on untrusted data.,1377,11,24,[1377],https://bandit.readthedocs.io/en/1.9.2/plugins/b704_markupsafe_markup_xss.html
.\venv\Lib\site-packages\jinja2\idtracking.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,138,12,58,[138],https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
.\venv\Lib\site-packages\jinja2\lexer.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,144,0,68,[144],https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
.\venv\Lib\site-packages\jinja2\lexer.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'keyword',639,26,35,[639],https://bandit.readthedocs.io/en/1.9.2/plugins/b105_hardcoded_password_string.html
.\venv\Lib\site-packages\jinja2\lexer.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,694,12,66,[694],https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
.\venv\Lib\site-packages\jinja2\lexer.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: '#bygroup',765,38,48,[765],https://bandit.readthedocs.io/en/1.9.2/plugins/b105_hardcoded_password_string.html
.\venv\Lib\site-packages\jinja2\loaders.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,325,8,80,[325],https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
.\venv\Lib\site-packages\jinja2\loaders.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,327,8,76,[327],https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
.\venv\Lib\site-packages\jinja2\loaders.py,hashlib,B324,HIGH,HIGH,https://cwe.mitre.org/data/definitions/327.html,Use of weak SHA1 hash for security. Consider usedforsecurity=False,661,25,51,[661],https://bandit.readthedocs.io/en/1.9.2/plugins/b324_hashlib.html
.\venv\Lib\site-packages\jinja2\nodes.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,64,12,70,[64],https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
.\venv\Lib\site-packages\jinja2\nodes.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,65,12,71,[65],https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
